Cell lines,ER,PR,HER2,"BRCA1
Mutation",Subtype,Series,Basic Medium,Tumor,Source,References
BT483,+,+/-,-,WT,LA,BT,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
CAMA1,+,+/-,-,WT,LA,NA,DMEM,AC,L,"[1, 5, 6, 10]"
EFM19,+,+,-,ND,LA,EFM,RPMI,IDC,L,"[8, 10]"
HCC1428,+,+,-,ND,LA,HCC,RPMI,AC,L,"[5, 8]"
HCC712,+,+/-,-,ND,LA,HCC,RPMI,DC,L,[8]
IBEP2,+,-,-,ND,LA,NA,DMEM,IDC,L,[10]
KPL1,+,-,-,ND,LA,NA,RPMI,IDC,L,"[10, 61]"
LY2,+,-,-,ND,LA,NA,DMEM,IDC,L,[5]
MCF7,+,+,-,WT,LA,MCF,"RPMI, DMEM",IDC,L,"[1, 5, 6, 8, 10, 58]"
MDAMB134,+,-,-,ND,LA,MDA,RPMI,IDC,L,[8]
MDAMB134VI,+,-,-,WT,LA,MDA,DMEM,IDC,L,"[1, 5, 6, 10]"
MDAMB175,+,-,-,ND,LA,MDA,RPMI,IDC,L,[8]
MDAMB175VII,+,-,-,WT,LA,MDA,DMEM,IDC,L,"[1, 5, 6, 10]"
MDAMB415,+,+/-,-,WT,LA,MDA,DMEM,AC,L,"[5, 6, 10]"
T47D,+,+,-,WT,LA,NA,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
ZR751,+,+/-,-,WT,LA,ZR75,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
ZR75B,+,-,-,ND,LA,ZR75,RPMI,NA,L,[5]
BSMZ,+,+,+,ND,LB,NA,RPMI,IDC,L,"[10, 19]"
BT474,+,+,+,WT,LB,BT,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
EFM192A,+,+,+,ND,LB,EFM,RPMI,AC,L,[8]
IBEP1,-,+,+,ND,LB,IBEP,DMEM,IDC,L,[10]
IBEP3,-,+,+,ND,LB,IBEP,DMEM,IDC,L,[10]
MDAMB330,+,-,+,WT,LB,MDA,RPMI,ILC,L,"[1, 6, 10]"
MDAMB361,+,+/-,+,WT,LB,MDA,"RPMI, DMEM",AC,L,"[1, 5, 6, 8, 10]"
UACC812,+,+/-,+,WT,LB,UACC,"RPMI, DMEM",IDC,L,"[1, 5, 6, 8, 10]"
ZR7527,+,-,+,WT,LB,ZR75,RPMI,IDC,L,[60]
ZR7530,+,-,+,WT,LB,ZR75,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
21MT1,-,+/-,+,ND,H,21,α-MEM/DFC1,IDC,L,[15]
21MT2,-,+/-,+,ND,H,21,α-MEM/DFC1,IDC,L,[15]
21NT,-,+/-,+,ND,H,21,α-MEM/DFC1,IDC,L,[15]
21PT,-,+/-,+,ND,H,21,α-MEM/DFC1,IDC,L,[15]
AU565,-,-,+,WT,H,NA,RPMI,AC,L,"[5, 10, 58]"
HCC1008,-,-,+,ND,H,HCC,RPMI,IDC,L,[12]
HCC1569,-,-,+,WT,H,HCC,RPMI,MC,L,"[1, 5, 8]"
HCC1954,-,-,+,WT,H,HCC,RPMI,DC,L,"[1, 5, 8]"
HCC202,-,-,+,WT,H,HCC,RPMI,DC,L,"[1, 5, 8]"
HCC2218,-,-,+,ND,H,HCC,RPMI,DC,L,[8]
HH315,-,-,+,ND,H,HH,RPMI,C,L,"[10, 59]"
HH375,-,-,+,ND,H,HH,RPMI,C,L,"[10, 59]"
KPL-4,-,-,+,WT,H,KPL,DMEM,IDC,L,"[10, 62]"
MDAMB453,-,-,+,WT,H,MDA,"RPMI, DMEM",AC,L,"[1, 5, 6, 8, 10]"
OCUB-F,-,-,+,WT,H,NA,RPMI,NA,L,"[1, 6]"
SKBR3,-,-,+,WT,H,SKBR,"RPMI, McCoys",AC,L,"[1, 5, 6, 8, 10]"
SKBR5,-,-,+,WT,H,SKBR,RPMI,AC,L,"[1, 6]"
SUM190PT,-,-,+,WT,H,SUM,Ham's F12,Inf,L,"[1, 5, 6, 8]"
SUM225CWN,-,-,+,WT,H,SUM,Ham's F12,IDC,L,"[1, 5, 6]"
UACC893,-,-,+,WT,H,UACC,RPMI,IDC,L,"[1, 6, 8, 10]"
BT20,-,-,-,WT,TNA,BT,"RPMI, DMEM",IDC,L,"[1, 5, 6, 8, 10]"
CAL148,-,-,-,WT,TNA,CAL,DMEM,AC,D,[71]
DU4475,-,-,-,WT,TNA,NA,RPMI,IDC,D,"[1, 6, 10]"
EMG3,-,-,-,ND,TNA,NA,DMEM,IDC,L,"[25, 48, 57]"
HCC1143,-,-,-,ND,TNA,HCC,RPMI,DC,L,"[1, 5, 8]"
HCC1187,-,-,-,ND,TNA,HCC,RPMI,DC,L,"[5, 8]"
HCC1599,-,-,-,ND,TNA,HCC,RPMI,DC,L,[8]
HCC1806,-,-,-,ND,TNA,HCC,RPMI,SqC,L,"[1, 8]"
HCC1937,-,-,-,MU,TNA,HCC,RPMI,DC,L,"[1, 5, 6, 8]"
HCC2157,-,-,-,ND,TNA,HCC,RPMI,DC,L,"[5, 8]"
HCC3153,-,-,-,MU,TNA,HCC,RPMI,DC,L,"[5, 8]"
HCC70,-,-,-,WT,TNA,HCC,RPMI,DC,L,"[1, 5, 8]"
HMT3522,-,-,-,WT,TNA,HMT,"DMEM, F12",B,L,[49]
KPL-3C,-,-,-,ND,TNA,KPL,RPMI,IDC,D,"[10, 36]"
MA11,-,-,-,ND,TNA,NA,DMEM,ILC,D,"[10, 37, 63]"
MDAMB435,-,-,-,WT,TNA,MDA,DMEM,AC,L,"[1, 5, 6, 10]"
MDAMB436,-,-,-,MU,TNA,MDA,"RPMI, L15",AC,L,"[1, 5, 6, 8, 10]"
MDAMB468,-,-,-,WT,TNA,MDA,"RPMI, L15",AC,L,"[1, 5, 6, 8, 10]"
MFM223,-,-,-,WT,TNA,NA,MEM,C,D,[71]
SUM185PE,-,-,-,WT,TNA,SUM,Ham's F12,DC,L,"[1, 5, 6]"
SUM229PE,-,-,-,WT,TNA,SUM,RPMI,DC,L,"[1, 6]"
BT549,-,-,-,WT,TNB,BT,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
CAL120,-,-,-,WT,TNB,CAL,DMEM,AC,D,[71]
CAL51,-,-,-,WT,TNB,CAL,DMEM,AC,D,[71]
CAL851,-,-,-,WT,TNB,CAL,DMEM,AC,D,[71]
HCC1395,-,-,-,ND,TNB,HCC,RPMI,DC,L,"[1, 8]"
HCC1739,-,-,-,ND,TNB,HCC,RPMI,DC,D,[12]
HCC38,-,-,-,ND,TNB,HCC,RPMI,DC,L,"[1, 5, 8]"
HDQ-P1,-,-,-,MU,TNB,NA,DMEM,IDC,D,[71]
Hs578T,-,-,-,WT,TNB,NA,"RPMI, DMEM",IDC,L,"[1, 5, 6, 8, 10]"
MDAMB157,-,-,-,WT,TNB,MDA,"RPMI, DMEM",MC,L,"[1, 5, 6, 8, 10]"
MDAMB231,-,-,-,WT,TNB,MDA,"RPMI, DMEM",AC,L,"[1, 5, 6, 8, 10]"
SKBR7,-,-,-,WT,TNB,SKBR,RPMI,AC,L,"[1, 6]"
SUM102PT,-,-,-,WT,TNB,SUM,Ham's F12,IDC,L,"[1, 6, 8]"
SUM1315M02,-,-,-,MU,TNB,SUM,Ham's F12,IDC,L,"[1, 5, 6]"
SUM149PT,-,-,-,MU,TNB,SUM,Ham's F12,InfDC,L,"[1, 5, 6, 8]"
SUM159PT,-,-,-,WT,TNB,SUM,Ham's F12,AnC,L,"[1, 5, 6]"
